#{"t_start": 1611042777.8706086, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,29.012242
1.0,157,37.841397
1.0,155,46.716156
1.0,177,56.880019
0.0,125,63.774547
0.0,129,71.002065
4.0,277,87.214797
0.0,127,94.074639
0.0,125,100.684854
2.0,204,112.284532
2.0,187,122.835663
0.0,129,129.820663
0.0,125,136.558315
1.0,177,146.40044
0.0,127,153.342116
1.0,175,163.084388
1.0,155,171.432383
3.0,272,186.779463
0.0,127,193.744008
0.0,125,200.525394
1.0,172,209.944962
1.0,175,219.656789
3.0,252,233.918291
2.0,223,246.5671
5.0,350,266.717258
2.0,207,278.478714
1.0,171,287.7144
3.0,248,301.855545
